Order_ID,Date,Region,State,Category,Product,Quantity,Sales,Profit
ORD-2024-00381,2024-01-04,Asia Pacific,Seoul,Technology,Tablet,1,1740.96,470.08
ORD-2025-00773,2024-01-04,North America,New York,Technology,Monitor,3,3675.08,907.42
ORD-2025-00901,2024-01-04,North America,Florida,Appliances,Coffee Maker,8,2657.64,513.85
ORD-2025-00846,2024-01-04,North America,Florida,Technology,Smartphone,8,8451.91,1820.99
ORD-2024-00465,2024-01-05,Europe,Bavaria,Office Supplies,Notebook,2,135.73,39.07
ORD-2025-00845,2024-01-05,North America,New York,Furniture,Conference Table,3,1801.17,369.04
ORD-2024-00104,2024-01-06,Latin America,Sao Paulo,Appliances,Air Purifier,1,444.49,80.66
ORD-2025-01190,2024-01-06,Europe,Lombardy,Technology,Wireless Router,11,12611.01,2544.4
ORD-2024-00575,2024-01-06,Asia Pacific,Tokyo,Technology,Wireless Router,3,1992.6,387.56
ORD-2025-00707,2024-01-06,Latin America,Buenos Aires,Office Supplies,Printer Paper,5,72.75,13.49
ORD-2025-01175,2024-01-07,Asia Pacific,Singapore,Technology,Tablet,5,6088.72,1077.77
ORD-2024-00303,2024-01-08,North America,Ontario,Furniture,Bookshelf,4,566.08,75.42
ORD-2025-01070,2024-01-08,North America,California,Office Supplies,Printer Paper,11,748.57,236.48
ORD-2025-00790,2024-01-09,North America,Florida,Technology,Laptop,11,10281.18,1594.96
ORD-2025-00801,2024-01-09,North America,Ontario,Technology,Laptop,5,6420.17,1659.99
ORD-2025-01038,2024-01-11,Europe,Ile-de-France,Furniture,Conference Table,6,3009.88,331.15
ORD-2025-00839,2024-01-11,Middle East & Africa,Riyadh,Technology,Tablet,9,11153.11,1912.59
ORD-2025-01121,2024-01-11,Latin America,Sao Paulo,Furniture,Desk,6,734.64,57.98
ORD-2024-00410,2024-01-11,Europe,Catalonia,Furniture,Cabinet,4,2184.3,251.93
ORD-2025-00889,2024-01-12,Latin America,Mexico City,Furniture,Cabinet,3,1485.93,165.33
